file_name,phrase
marctic_a0001.wav,"Author of the danger trail, Philip Steels, etcetera.
"
marctic_a0002.wav,"Not at this particular case, Tom, apologized Whittemore.
"
marctic_a0003.wav,"For the twentieth time that evening the two men shook hands.
"
marctic_a0004.wav," Lord, but I'm glad to see you again, Phil. 
"
marctic_a0005.wav,"Will we again forget it.
"
marctic_a0006.wav,"God bless 'em, I hope I'll go on seeing them forever.
"
marctic_a0007.wav,"And you always want to see it in the superlative degree.
"
marctic_a0008.wav,"Gad, your letter came just in time.
"
marctic_a0009.wav,"He turned sharply, and faced Gregson across the table.
"
marctic_a0010.wav,"I'm playing a single hand in what looks like a losing game.
"
marctic_a0011.wav,"If I ever needed a fighter in my life I need one now.
"
marctic_a0012.wav,"Gregson shoved back his chair and rose to his feet.
"
marctic_a0013.wav,"He was a head shorter than his companion, of almost delicate physique.
"
marctic_a0014.wav,"Now you're coming down to business, Phil, he exclaimed.
"
marctic_a0015.wav,"It's the aurora borealis.
"
marctic_a0016.wav,"There's Fort Churchill, a rifle shot beyond the ridge, asleep.
"
marctic_a0017.wav,"From that moment his friendship for Belize turns to hatred and jealousy.
"
marctic_a0018.wav,"There was a change now.
"
marctic_a0019.wav,"I followed the line of the proposed railroad, looking for chances.
"
marctic_a0020.wav,"Clubs and balls and cities grew to be only memories.
"
marctic_a0021.wav,"It fairly clubbed me into recognizing it.
"
marctic_a0022.wav,"Hardly were our plans made public before we were met by powerful opposition.
"
marctic_a0023.wav,"A combination of Canadian capital quickly organized and petitioned for the same privileges.
"
marctic_a0024.wav,"It was my reports from the north which chiefly induced people to buy.
"
marctic_a0025.wav,"I was about to do this when cooler judgment prevailed.
"
marctic_a0026.wav,"It occurred to me that there would have to be an accounting.
"
marctic_a0027.wav,"To my surprise he began to show actual enthusiasm in my favor.
"
marctic_a0028.wav,"Robbery, bribery, fraud, 
"
marctic_a0029.wav,"Their forces were already moving into the north country.
"
marctic_a0030.wav,"I had faith in them.
"
marctic_a0031.wav,"They were three hundred yards apart.
"
